passiveTaskCode	passiveTitle	passiveDescription	passiveStarRating	passiveCategory1	passiveCategory2	passiveCategory3	passivePlacementReason
3QMX	Successfully breed all Manor Farm animals with the Ravensworn trait	After obtaining the 'the Ravensworn' title, your animals can start breeding with this trait. It only appears in slots 2 or 3.	5	Hard	Elite	Master	Timegated + Ravensworn title
G79R	Obtain the Apprentice Farmer rank	Requires 4,000 reputation. Reputation is gained when carrying out most activities granting Farming experience.	1	-	-	Easy	Timegated
78ER	Obtain the Practiced Farmer rank	Requires 10,000 reputation. Reputation is gained when carrying out most activities granting Farming experience.	2	-	Easy	Medium	Timegated
KZ6X	Obtain the Competent Farmer rank	Requires 25,000 reputation. Reputation is gained when carrying out most activities granting Farming experience.	2	Easy	-	Medium	Timegated
B2XN	Obtain the Expert Farmer rank	Requires 75,000 reputation. Reputation is gained when carrying out most activities granting Farming experience.	3	-	Medium	Hard	Timegated
M4DE	Obtain the Master Farmer rank	Requires 225,000 reputation. Reputation is gained when carrying out most activities granting Farming experience.	3	Medium	-	Hard	Timegated
Z28B	Obtain the Senior Master Farmer rank	Requires 1,100,000 reputation. Reputation is gained when carrying out most activities granting Farming experience.	4	Hard	-	Elite	Timegated
98QK	Obtain the Grandmaster Farmer rank	Requires the maximum 2,500,000 reputation. Reputation is gained when carrying out most activities granting Farming experience.	5	Elite	-	Master	Timegated
4Q82	Upgrade your Seedicide	Bought from the Farmers' Market for 25,000 beans.	3	-	-	Hard	Timegated + Beans
XVR2	Upgrade your Herbicide	Bought from the Farmers' Market for 25,000 beans.	3	Medium	-	Hard	Timegated + Beans
NX7X	Obtain the Left banana of knowledge	Can be obtained as a reward from Ifaba's farming requests.	3	Beginner	-	God	RNG
JMED	Obtain the Right banana of knowledge	Can be obtained as a reward from Ifaba's farming requests.	3	Beginner	-	God	RNG
R8ZV	Unlock the breeding perk for small animal pens	Bought from Granny Potterington at the Player-owned Farm for 1,000 beans.	1	Beginner	-	Easy	Timegated + Beans
YVY4	Unlock the breeding perk for medium animal pens	Bought from Granny Potterington at the Player-owned Farm for 3,000 beans.	2	Easy	-	Medium	Timegated + Beans
856K	Unlock the breeding perk for large animal pens	Bought from Granny Potterington at the Player-owned Farm for 7,000 beans.	3	Medium	-	Hard	Timegated + Beans
VVN8	Unlock the Seasonaliser wheel	Bought from Granny Potterington at the Player-owned Farm for 5,000 beans.	3	-	-	Medium	Timegated + Beans
2QR6	Unlock the Noted produce perk	Bought from Granny Potterington at the Player-owned Farm for 3,000 beans.	3	Easy	-	Medium	Timegated + Beans
E2RG	Unlock all three Multiple trait boosts	Bought from Granny Potterington at the Player-owned Farm for 6,000 (small), 9,000 (medium) and 12,000 (Large) beans for a total of 27,000.	5	Medium	-	Hard	Timegated + Beans
6Q29	Unlock the Player-owned Farm status icons	Bought from Granny Potterington at the Player-owned Farm for 1,500 beans. Talk to Granny Potterington to toggle this unlock on and off.	2	Easy	-	Medium	Timegated + Beans
Q8M7	Unlock the Farm deeds	Bought from Granny Potterington at the Player-owned Farm for 250,000 beans.	5	-	-	Elite	Timegated + Beans
D2JB	Unlock the Storm Barn and its extensions	Bought from Granny Potterington at the Player-owned Farm for 5,000 (barn deeds), 20,000 (extension 1) and 60,000 (extension 2) beans for a total of 85,000.	5	Medium	-	Hard	Timegated + Beans
5M45	Unlock access to your Storm Barn from Anachronia	Bought from Prehistoric Potterington at the Ranch Out of Time for 7,500 beans.	4	Medium	Hard	Elite	Timegated + Beans
WVJJ	Unlock Trevor the magical Zygomite	Bought from Granny Potterington at the Player-owned Farm for 10,000 beans. Can only be bought after completing the achievement 'Ever So Clever'.	5	Hard	Elite	Master	Timegated + Beans
5QV3	Recruit Thing for your Player-owned Farm	Bought from Granny Potterington at the Player-owned Farm for 1,000 beans. Farmhands will stop animals from growing past the adolescent stage at the cost of beans.	2	Beginner	-	Easy	Timegated + Beans
3QYX	Recruit Handy for your Player-owned Farm	Bought from Granny Potterington at the Player-owned Farm for 1,000 beans. Farmhands will stop animals from growing past the adolescent stage at the cost of beans.	2	Beginner	-	Easy	Timegated + Beans
G78R	Recruit Zygomaid for your Player-owned Farm	Bought from Granny Potterington at the Player-owned Farm for 2,000 beans. Farmhands will stop animals from growing past the adolescent stage at the cost of beans.	2	Beginner	-	Easy	Timegated + Beans
783R	Recruit Emile for your Player-owned Farm	Bought from Granny Potterington at the Player-owned Farm for 2,000 beans. Farmhands will stop animals from growing past the adolescent stage at the cost of beans.	2	Easy	-	Medium	Timegated + Beans
KZYX	Recruit Dorbo for your Player-owned Farm	Bought from Granny Potterington at the Player-owned Farm for 3,500 beans. Farmhands will stop animals from growing past the adolescent stage at the cost of beans.	2	Easy	-	Medium	Timegated + Beans
B2BN	Recruit Teensy for your Player-owned Farm	Bought from Granny Potterington at the Player-owned Farm for 3,500 beans. Farmhands will stop animals from growing past the adolescent stage at the cost of beans.	2	Easy	-	Medium	Timegated + Beans
M4VE	Recruit Karen for your Player-owned Farm	Bought from Granny Potterington at the Player-owned Farm for 3,500 beans. Farmhands will stop animals from growing past the adolescent stage at the cost of beans.	2	Easy	-	Medium	Timegated + Beans
Z24B	Recruit Susan for your Player-owned Farm	Bought from Granny Potterington at the Player-owned Farm for 3,500 beans. Farmhands will stop animals from growing past the adolescent stage at the cost of beans.	2	Easy	-	Medium	Timegated + Beans
983K	Recruit Callia for your Player-owned Farm	Bought from Granny Potterington at the Player-owned Farm for 2,500 beans. Farmhands will stop animals from growing past the adolescent stage at the cost of beans.	2	Easy	Medium	Hard	Timegated + Beans
4Q32	Recruit Adam Antite for your Player-owned Farm	Bought from Granny Potterington at the Player-owned Farm for 5,000 beans. Adam can be sent out to retrieve unchecked animals every 6 hours for 100 beans.	3	Easy	-	Medium	Timegated + Beans
XVZ2	Construct the Breeding pen on the Ranch Out of Time	Bought from Prehistoric Potterington at the Ranch Out of Time for 1,000 beans. Requires 42 Farming to buy the pen deed and 55 Construction alongside 100,000 wood, vines and stone from the Anachronia base camp to build the pen.	2	-	-	Medium	Timegated + Beans
7838	Unlock the breeding perk for small dinosaur pens	Bought from Prehistoric Potterington at the Ranch Out of Time for 6,000 beans.	3	-	-	Hard	Timegated + Beans
KZY7	Unlock the breeding perk for medium dinosaur pens	Bought from Prehistoric Potterington at the Ranch Out of Time for 8,000 beans.	4	-	-	Elite	Timegated + Beans
B2BQ	Unlock the breeding perk for large dinosaur pens	Bought from Prehistoric Potterington at the Ranch Out of Time for 10,000 beans.	5	-	-	Elite	Timegated + Beans
M4V9	Purchase the Max Guild portal-redirection to the Ranch out of Time	Bought from Prehistoric Potterington at the Ranch Out of Time for 5,000 beans.	3	-	-	Hard	Timegated + Beans
Z24Y	Set foot in the world of the beanionnaires	Obtain a grand total of 1,000,000 Beans.	5	Elite	-	Master	Timegated + Beans
983E	Speak to Pickle the cat on the Manor farm when her mice kill count is in double digits	Requires an amulet of catspeak.	1	-	-	Easy	Catspeak amulet obtained in Easy
4Q3G	Breed an Evil chicken	When a male and a female chicken spend a lot of time together, and they really like each other, the cock might decide to do something evil.	3	Easy	-	Medium	Timegated
XVZW	Show Malcolm to Granny	Animal trait re-rollers can be used to get the chaotic trait on your a Lizard Chicken hen, then name re-rollers to change their name to Malcolm. Do it in this order, the other way around does not work.	3	Easy	Medium	Hard	Timegated
JMR5	Fill both small pens with rabbits	Requires 12 rabbits total and both small pens bought.	3	-	-	Easy	Short timegate
R8D6	Fill a medium pen with one of each of the four seasonal rams	The four seasonal rams can only be breed during it's specific season. The seasonliser from the Farmers' Market can be used to change the season at the farm.	3	Easy	-	Medium	Short timegate + RNG
YV9Y	Make a Player-owned farm Chinchompa explode	Chinchompas with the Unstable trait have a chance to explode when they are harvested for experience.	3	Easy	Medium	Hard	Short timegate + RNG
8533	Have 6 tier II animal perks active simultaneously at your farm	Requires 6 farm totems from the Farmers' Market. Need all small, medium and large pens to have the same mating pairs in every pen. The animals have to be elder.	2	-	Easy	Medium	Timegated
VVB7	Have 9 tier I animal perks active simultaneously at your farm	Requires 6 farm totems from the Farmers' Market. One small pen needs to have a hen and a rooster, the other a chinchompa or rabbit. One medium pen needs to have a ram and an ewe, the other a spider or zygomite. One large pen needs to have a bull and a cow, the other a yak or dragon. All the animals have to be elder.	3	-	Medium	Hard	Timegated
6VD7	Cure 100 animals on your farm	Cure 100 diseased animals of their curses, coughs, chews and coronas	2	-	Easy	Medium	Timegate + RNG or forced neglect
M934	Force-feed a broad selection of Honeycombs to any animal on your Player-owned Farm	Some of the Honeycombs are made from Flowers obtained in Het's Oasis.	3	-	-	Hard	Farming level
2Q38	Become the Ruler of the Sea	This is achieved by succesfully completing all Deep Sea Fishing encounters, these being the whale, the jellyfish invasion and the seamonster.	3	Hard	Elite	Master	Fishing level + Event RNG
E2ZW	Check out what's up for sail at the Deep Sea Fishing Merchant and make a purchase	The mechant spawns randomly at the hub and stays for a few minutes before departing. Spawns are unique to worlds, so hopping to find him is an option.	2	-	-	Medium	Fishing level
6QRG	Interact with the Sea turtle at the Deep Sea Fishing Hub	The turtle is extremely rare to come upon. Good luck. Claiming the loot from it is allowed.	4	-	Medium	Hard	Fishing level + Event RNG
Q86R	Deposit 100 buckets of sand in the Whirlpool spawning randomly at the Deep Sea Fishing Hub	Be quick(sand) about it - the whirlpool doesn't stay for long!	3	-	Medium	Hard	Fishing level + Event RNG
D2MR	Grow most of the existing herbs	Check the link for a comprehensive list.	4	-	-	Hard	Farming level + drop requirements
MEJ3	Create and fill a Blessed flask	Crafting the flask requires an Herblore and Crafting level of 118 and 96, respectively, and a huge amount of supplies ranging from stone spirits to positive energies.	5	Master	Master	Legendary	Herblore level + crafting level + timegated
8G2Q	Obtain a full set of Witchdoctor equipment	The top or legs are obtained from Papa Mambo by catching all non-God Jadinkos within 1 week, requiring a Hunter level of 81. Additionally catching the three God Jadinkos requires a Hunter level of 81 and will reward you with the mask. The ten normal Jadinkos can be caught on Anachronia as well as in the Herblore Habitat hunter area, while the God set are only found on Karamja.	3	-	-	Elite	Hunter level + Timegated
6VZN	Mine a Diamond in the Trahaearn district of Prifddinas	Can only be completed while the Voice of Seren is active in the Trahaearn district.	3	-	-	Hard	Prif unlock required
XN5G	Mine Light animica rocks in the Trahaearn district of Prifddinas	The ore rocks may not spawn on every world, hopping may be needed when the Voice becomes active.	4	-	-	Elite	Prif unlock required + Mining level requirement
VX6N	Mine one of each ore and regular rock	Mine one of each of the listed ores: copper, tin, iron, coal, silver, mithril, adamantite, luminite, gold, runite, orichalcite, drakolith, necrite, phasmatite, banite, light & dark animica, clay, granite, limestone, rune essence, any gem rock, sandstone (from the Desert Quarry, not from Menaphos).	3	-	-	Elite	Mining level
84KJ	Gain all experience possible from The Nexus	A total of 50,339 prayer xp can be gained.	1	Easy	Medium	Hard	Group requirement
WVKE	Hand in Rune dust to a Runesphere 25 times	The dust can be banked and any amount can be handed in to progress the achievement. Dust can only be handed in once per day.	5	Beginner	Elite	Master	Unlock + timegated
BV5M	Entirely fill up your Personal Slayer dungeon	You will need a total of 15 monster souls (of which 5 must be classified as small monsters) in order to fill the chambers of your dungeon. The choice of souls is up to you, as long as you stick to the rules when hunting them!	5	Elite	Elite	Master	Requires third PokÃƒÂ©dex task
5QJB	Tune a Bane sword into either its Revenant, Dragon or Abyssal bane variant	This is accomplished by combining a bane (2h) sword +4 with draconic visages (dragon bane), abyssal whips (abyssal bane), or corrupted variants of the Statius or Vesta weapons (revenant bane). The 2h sword requires two identical items.	4	Hard	-	Elite	Smithing requirement
ZXJJ	Turn many spirit gems into one spirit gem	Consolidate your spirit gem charges by using them on one another. You can combine up to 1,000 charges into a single gem like this!	1	-	Beginner	Easy	Drop RNG
3QXG	Complete both of the invention technology trees	Tech trees can be unlocked with an Invention level of 40. In order to begin unlocking the items in tech trees, one tree must be chosen to specialise in alongside the human tree. This can be done by speaking to Drorkar in Keldagrim palace furnace, or Oldak in his lab in Dorgesh-Kaan. You are allowed to create any items required to progressing the tree, as long as you already have the materials.	3	-	-	Hard	Invention unlock + timegated
5MNX	Pog on a stick, what a fancy way to travel about	An Invention level of 91 is required. The pogostick can be created by combining 2 Royal torsion springs, 500 tensile parts, 500 stave parts and 100 swift components.	3	-	Elite	Master	Invention level + assembly based on item drops in latest possible tier
RMV7	Create all Invention codices	The codex can be created with an Invention level of 114, two alchemical onyxes, made by fusing 100 fortunate components with two onyxes, 20 stunning and 100 direct components and 1,500 smooth parts.	5	-	-	God	Crafting level + Invention level
VR9Y	Obtain the Spring cleaner 9001	The Spring cleaner upgrades after use or directly consumption of a total of 10,000 springs, which is an additional 6,000 springs. Directly upgrading it does require the same amount of springs, but it will not use the springs to charge the spring cleaner.	5	Elite	-	Master	Timegated
M489	Obtain the Elder divination outfit	Creating the outfit require an Invention level of 20 and a Divination level of 80. You will need a total of 54,000 fragments gathered during Divination training from a Divination level of 70.	3	-	-	Elite	Divination level + time required to obtain fragments
Z2GY	Obtain the Warped gorajan trailblazer outfit	Creating the outfit require an Invention level of 20 and a Dungeoneering level of 80. You will need a total of 72,000 fragments gathered during Dungeoneering training from a Dungeoneering level of 70. You will also need to buy the blueprint from the Elite Dungeon shop for 200,000 dungeoneering tokens.	3	-	-	Elite	Dungeoneering level + time required to obtain fragments
8KN6	Obtain the Master farmer outfit and unlock all its effects	Creating the outfit require an Invention level of 20 and a Farming level of 80. You will need a total of 54,000 fragments gathered during Farming training from a Farming level of 70 or from the Farmer's Market.	3	Hard	-	Elite	Farming level + time required to obtain fragments
VX5B	Obtain the Fury shark outfit and unlock all its effects	Creating the outfit require an Invention level of 20 and a Fishing level of 80. You will need a total of 54,000 fragments gathered during Fishing training from a Fishing level of 70.	3	-	-	Elite	Fishing level + time required to obtain fragments
XVBW	Obtain the Volcanic trapper outfit	Creating the outfit require an Invention level of 20 and a Hunter level of 80. You will need a total of 54,000 fragments gathered during Hunter training from a Hunter level of 70.	3	-	Elite	Master	Hunter level + time required to obtain fragments, best methods give low fragments
EBM4	Obtain the Magic golem outfit and unlock all its effects	Creating the outfit require an Invention level of 20 and a Mining level of 80. You will need a total of 54,000 fragments gathered during Mining training from a Mining level of 70.	3	-	-	Elite	Mining level + time required to obtain fragments
JMJ5	Obtain the Infinity ethereal outfit	Creating the outfit require an Invention level of 20 and a Runecrafting level of 80. You will need a total of 54,000 fragments gathered during Runecrafting training from a Runecrafting level of 70.	3	-	Elite	Master	Runecrafting level + time required to obtain fragments, best methods give low fragments
R8Q6	Obtain the Master camouflage outfit	Creating the outfit require an Invention level of 20 and a Thieving level of 80. You will need a total of 54,000 fragments gathered during Thieving training from a Thieving level of 70.	3	-	Elite	Master	Thieving level + time required to obtain fragments, best methods give low fragments
YVMY	Obtain the Nature's sentinel outfit	Creating the outfit require an Invention level of 20 and a Woodcutting level of 80. You will need a total of 54,000 fragments gathered during Woodcutting training from a Woodcutting level of 70.	3	-	-	Elite	Woodcutting level + time required to obtain fragments
6QEQ	Find Dojo Mojo while training Agility	Can be found while doing most exp-giving activities in the skill.	5	Easy	Medium	Hard	RNG
Q8X4	Find Archie while training Archaeology	Can be found while doing most exp-giving activities in the skill.	5	Medium	Hard	Elite	RNG
D2XQ	Find Sifu while training Attack	Can be found while doing most exp-giving activities in the skill.	5	Medium	Hard	Elite	RNG
WV7Z	Find Morty while training Constitution	Can be found while doing most exp-giving activities in the skill.	5	Medium	Hard	Elite	RNG
5QER	Find Baby Yaga's House while training Construction	Can be found while doing most exp-giving activities in the skill.	5	Medium	Hard	Elite	RNG
3QEE	Find Ramsay while training Cooking	Can be found while doing most exp-giving activities in the skill.	5	Medium	Hard	Elite	RNG
G7GE	Find Gemi while training Crafting	Can be found while doing most exp-giving activities in the skill.	5	Medium	Hard	Elite	RNG
78WD	Find Wallace while training Defence	Can be found while doing most exp-giving activities in the skill.	5	Hard	Elite	Master	RNG
KZK3	Find Willow while training Divination	Can be found while doing most exp-giving activities in the skill.	5	Hard	Elite	Master	RNG
B295	Find Gordie while training Dungeoneering	Can be found while doing most exp-giving activities in the skill.	5	Hard	Elite	Master	RNG
M4MY	Find Brains while training Farming	Can be found while doing most exp-giving activities in the skill.	5	Hard	Elite	Master	RNG
Z2M8	Find Bernie while training Firemaking	Can be found while doing most exp-giving activities in the skill.	5	Hard	Elite	Master	RNG
98E4	Find Bubbles while training Fishing	Can be found while doing most exp-giving activities in the skill.	5	Hard	Elite	Master	RNG
4QEN	Find Flo while training Fletching	Can be found while doing most exp-giving activities in the skill.	5	Hard	Elite	Master	RNG
XVK7	Find Herbert while training Herblore	Can be found while doing most exp-giving activities in the skill.	5	Elite	Master	Legendary	RNG
NXKR	Find Ace while training Hunter	Can be found while doing most exp-giving activities in the skill.	5	Elite	Master	Legendary	RNG
JMW8	Find Malcolm while training Invention	Can be found while doing most exp-giving activities in the skill.	5	Elite	Master	Legendary	RNG
R892	Find Newton while training Magic	Can be found while doing most exp-giving activities in the skill.	5	Elite	Master	Legendary	RNG
YV87	Find Rocky while training Mining	Can be found while doing most exp-giving activities in the skill.	5	Elite	Master	Legendary	RNG
85W9	Find Ghostly while training Prayer	Can be found while doing most exp-giving activities in the skill.	5	Elite	Master	Legendary	RNG
VVJ3	Find Sparky while training Ranged	Can be found while doing most exp-giving activities in the skill.	5	Elite	Master	Legendary	RNG
2Q62	Find Rue while training Runecrafting	Can be found while doing most exp-giving activities in the skill.	5	Elite	Master	Legendary	RNG
E2E7	Find Crabbe while training Slayer	Can be found while doing most exp-giving activities in the skill.	5	Elite	Master	Legendary	RNG
6Q6Q	Find Smithy while training Smithing	Can be found while doing most exp-giving activities in the skill.	5	Elite	Master	Legendary	RNG
Q8Z4	Find Kangali while training Strength	Can be found while doing most exp-giving activities in the skill.	5	Master	Legendary	God	RNG
D2EQ	Find Shamini while training Summoning	Can be found while doing most exp-giving activities in the skill.	5	Master	Legendary	God	RNG
WVRZ	Find Ralph while training Thieving	Can be found while doing most exp-giving activities in the skill.	5	Master	Legendary	God	RNG
5Q6R	Find Woody while training Woodcutting	Can be found while doing most exp-giving activities in the skill.	5	Master	Legendary	God	RNG
8583	Obtain a Spirit gem bag	The bag can be bought for 360 Thaler from Stanley Limelight.	3	Easy	Elite	Master	250 - 499 thaler > Master tier latest
VV77	Purchase the 'Junior Cadet' title	The title can be bought for 100 Thaler from Stanley Limelight.	2	Easy	Hard	Elite	< 250 thaler > Elite tier latest
2Q48	Obtain the full Serjeant's Uniform	The uniform can be bought for 150 Thaler from Stanley Limelight.	2	Easy	Hard	Elite	< 250 thaler > Elite tier latest
E24W	Purchase the 'Serjeant' title	The title can be bought for 100 Thaler from Stanley Limelight.	2	Easy	Hard	Elite	< 250 thaler > Elite tier latest
6Q5G	Obtain the full Commander's Uniform	The uniform can be bought for 150 Thaler from Stanley Limelight.	2	Easy	Hard	Elite	< 250 thaler > Elite tier latest
Q8NR	Purchase the 'Commander' title	The title can be bought for 100 Thaler from Stanley Limelight.	2	Easy	Hard	Elite	< 250 thaler > Elite tier latest
D2ZR	Obtain the full War-chief's Uniform	The uniform can be bought for 150 Thaler from Stanley Limelight.	2	Easy	Hard	Elite	< 250 thaler > Elite tier latest
5QDB	Purchase the 'War-Chief' title	The title can be bought for 100 Thaler from Stanley Limelight.	2	Easy	Hard	Elite	< 250 thaler > Elite tier latest
3Q2G	Obtain the full Lord marshal's Uniform	The uniform can be bought for 150 Thaler from Stanley Limelight.	2	Easy	Hard	Elite	< 250 thaler > Elite tier latest
Y2JK	Buy Mad Ramblings (1) and Mad Ramblings (2) from Barbarian Assault	The Mad Ramblings can be bought from Commander Connad for a total of 50 Honour points in any role.	1	Easy	-	Medium	Requires finding a group willing to take a low level
842M	Store the King and Queen help books in your PoH	The books are stored in your PoH upon defeating the Barbarian Assault King and Queen respectively.	3	Hard	Hard	Elite	Requires Penance King kill
84RX	Purchase the 4 different Penance Egg paints	Each paint only needs to be purchased once, meaning the total costs is 200 points in any Barbarian Assault role. These paints can be used on the dark bow and abyssal whip.	1	Easy	-	Medium	Requires finding a group willing to take a low level
Q4RV	Unlock the 'the Penance Slayer' title	The title is unlocked by reaching level 5 in each role and defeating both the Penance King and Queen in the Barbarian Assault minigame.	4	Hard	-	Elite	Group time investment required
DDYV	Obtain the Saradomin team hood	The hood can be bought from Lanthus for 10 silver Castle Wars tickets.	1	Beginner	Easy	Medium	Time investment
W28N	Obtain the Saradomin team cloak	The cape can be bought from Lanthus for 10 silver Castle Wars tickets.	1	Beginner	Easy	Medium	Time investment
BDNG	Obtain the Zamorak team hood	The hood can be bought from Lanthus for 10 silver Castle Wars tickets.	1	Beginner	Easy	Medium	Time investment
975V	Obtain the Zamorak team cloak	The cape can be bought from Lanthus for 10 silver Castle Wars tickets.	1	Beginner	Easy	Medium	Time investment
4VR6	Obtain the Saradomin Halo	The halo can be bought from Lanthus for 300 gold Castle Wars tickets.	5	Beginner	-	Legendary	< 500 gold tickets > Legendary tier latest
NMQE	Obtain the Guthix Halo	The halo can be bought from Lanthus for 300 gold Castle Wars tickets.	5	Beginner	-	Legendary	< 500 gold tickets > Legendary tier latest
RXEE	Obtain the Zamorak Halo	The halo can be bought from Lanthus for 300 gold Castle Wars tickets.	5	Beginner	-	Legendary	< 500 gold tickets > Legendary tier latest
8VZ7	Obtain the Faithful Shield	The shield can be bought from Lanthus for 200 gold Castle Wars tickets.	4	Beginner	-	Legendary	< 500 gold tickets > Legendary tier latest
2VYJ	Obtain the Castle Wars flag cape	The cape can be bought from Lanthus for 2 silver Castle Wars tickets after capturing the most flags in a game of Castle Wars.	2	Medium	-	Hard	Can be group-boosted
ED62	Obtain the Castle Wars kills cape	The cape can be bought from Lanthus for 2 silver Castle Wars tickets after achieving the highest amount of kills in a game of Castle Wars.	2	Medium	-	Hard	Can be group-boosted
Q42V	Obtain the Castle Wars hobbyist cape	The cape can be bought from Lanthus for 2 silver Castle Wars tickets after participating in at least 500 games of Castle Wars.	5	Beginner	-	Master	Time investment
W29N	Obtain the Castle Wars enthusiast cape	The cape can be bought from Lanthus for 2 silver Castle Wars tickets after participating in at least 1,000 games of Castle Wars.	5	Beginner	-	Legendary	Time investment
5W7E	Obtain the Castle Wars professional cape	The cape can be bought from Lanthus for 2 silver Castle Wars tickets after participating in at least 5,000 games of Castle Wars.	5	Beginner	-	God	Time investment
RXBE	Obtain the Basic decorative set and sword	The set can be bought from Lanthus for 29 silver Castle Wars tickets.	1	Beginner	Medium	Hard	Time investment
6VBV	Upgrade the Intricate decorative set to the Profound decorative set and sword	The set can be bought from Lanthus for 4,150 gold Castle Wars tickets, or from Stanley Limelight for 47,725 Thaler.	5	Beginner	-	God	> 1000 gold tickets > God tier latest
3VR6	Cast Ice barrage on a player 99 times in Castle Wars	Freeze!	4	Medium	Hard	Elite	Requires Ancient spellbook unlock
7VM4	Unlock Ancient teleport tablets	The unlock can be bought from the Slayer Bounty & Deathmatch Reward Shop for 300 Deathmatch points. Requires completion of Desert Treasure.	2	Medium	Medium	Hard	< 500 DM points > Hard tier latest
9G4J	Obtain 1,250 rank points in Conquest	Conquest rewards commendations which can be used to buy parts of the Void knight armour sets.	3	-	Elite	Master	No participants in minigame
JDG4	Obtain the Supreme hunter's helm	The helm can be bought from the Slayer Bounty & Deathmatch Reward Shop for 1,500 Deathmatch points after becoming the Supreme hunter at least once.	4	Hard	Elite	Master	Requires group of 20+
Y23K	Obtain the Atrocious rogue gloves	The gloves can be bought from the Slayer Bounty & Deathmatch Reward Shop for 600 Deathmatch points after the previous pairs have been bought, setting the requierd total points at 1,800.	4	Hard	Elite	Master	> 1500 DM points > Master tier latest
VR3K	Obtain all 10 taunts from the Slayer Bounty & Deathmatch Reward Shop	The taunt scrolls can be bought from the Slayer Bounty & Deathmatch Reward Shop for 200 Deathmatch points each, setting the required total points at 2,000.	2	Hard	Elite	Master	> 1500 DM points > Master tier latest
GD2N	Obtain the full Factory outfit	The set can be bought from Brian O'Richard for 10,800 Brian points or from Stanley Limelight for 1,200 Thaler. P.S.: The mask makes rogue equipment, required for another passive, ten times as common.	4	Elite	Master	Legendary	>= 500 thaler > Legendary tier latest
4V2W	Obtain the Void knight mace	The mace can be obtained by playing Pest Control. It can be bought for 250 Commendations from a Void Knight.	2	Medium	Hard	Elite	Spotlight timegated + time investment
NM9M	Obtain Jessika's sword	Requires completion of The Void Stares Back to buy. The sword can be obtained by playing Pest Control. It can be bought for 350 Commendations from a Void Knight, or for 400 Thaler from Stanley Limelight.	3	Medium	Hard	Elite	Spotlight timegated + time investment
RXYG	Win a Pest Control game after repairing all Barricades to full	This can be done at any difficulty. Ask in the Clan chat or Discord server if anyone wants to help.	1	-	-	Hard	Coordinated group requirement
ED83	Obtain the Helm of the Troll	The Mask of the Troll can be bought from the Shattered Worlds shop for 13 million Anima. 100 Trolls must be killed to upgrade the mask to the helm. Once you own the mask, you're allowed to slay the required amount of monsters needed to upgrade it.	2	-	-	Medium	Assembly based on item drops in latest possible tier
2V2D	Obtain the Helm of the Dead Hand	The Mask of Broken Fingers can be bought from the Shattered Worlds shop for 9 million Anima. 100 Crawling hands must be killed to upgrade it to the helm. Once you own the mask, you're allowed to slay the required amount of monsters needed to upgrade it, once you have obtained all uniques more common than 1/2,000. They require a Slayer level of 5 to harm.	2	Medium	-	Hard	Assembly based on item drops in latest possible tier
VRKJ	Obtain the Helm of Keening	The Mask of Mourning can be bought from the Shattered Worlds shop for 13 million Anima. 200 Banshees must be killed to upgrade it to the helm. Once you own the mask, you're allowed to slay the required amount of monsters needed to upgrade it, once you have obtained all uniques more common than 1/2,000. They require a Slayer level of 15 to harm.	2	Medium	-	Hard	Assembly based on item drops in latest possible tier
8V2E	Obtain the Helm of Petrification	The Mask of Stone can be bought from the Shattered Worlds shop for 15 million Anima. 300 Cockatrice must be killed to upgrade it to the helm. Once you own the mask, you're allowed to slay the required amount of monsters needed to upgrade it, once you have obtained all uniques more common than 1/2,000. They require a Slayer level of 25 to harm.	2	Medium	Hard	Elite	Assembly based on item drops in latest possible tier
Y2ZR	Obtain the Helm of Little Kings	The Mask of Reflection can be bought from the Shattered Worlds shop for 18 million Anima. 500 Basilisks must be killed to upgrade it to the helm. Once you own the mask, you're allowed to slay the required amount of monsters needed to upgrade it, once you have obtained all uniques more common than 1/2,000. They require a Slayer level of 40 to harm.	2	Medium	Hard	Elite	Assembly based on item drops in latest possible tier
JDKV	Obtain the Helm of Blood	The Mask of Crimson can be bought from the Shattered Worlds shop for 18 million Anima. 600 Bloodvelds must be killed to upgrade it to the helm. Once you own the mask, you're allowed to slay the required amount of monsters needed to upgrade it, once you have obtained all uniques more common than 1/2,000. They require a Slayer level of 50 to harm.	2	Hard	Elite	Master	Assembly based on item drops in latest possible tier
XEMV	Obtain the Jellyhead	The Mask of Gelatin can be bought from the Shattered Worlds shop for 18 million Anima. 600 Jellies must be killed to upgrade it to the helm. Once you own the mask, you're allowed to slay the required amount of monsters needed to upgrade it. They require a Slayer level of 52 to harm.	2	Hard	Elite	Master	Assembly based on item drops in latest possible tier
ZR93	Obtain the Helm of Foulness	The Mask of Stench can be bought from the Shattered Worlds shop for 63 million Anima. 700 Aberrant spectres must be killed to upgrade it to the helm. Once you own the mask, you're allowed to slay the required amount of monsters needed to upgrade it, once you have obtained all uniques more common than 1/2,000. They require a Slayer level of 60 to harm.	2	Hard	Elite	Master	Assembly based on item drops in latest possible tier
BD86	Obtain the Helm of Devilry	The Mask of dust can be bought from the Shattered Worlds shop for 45 million Anima. 700 Dust devils must be killed to upgrade it to the helm. Once you own the mask, you're allowed to slay the required amount of monsters needed to upgrade it, once you have obtained all uniques more common than 1/2,000. They require a Slayer level of 65 to harm.	2	Hard	Elite	Master	Assembly based on item drops in latest possible tier
